USPS	GEOID	ALAND	AWATER	ALAND_SQMI	AWATER_SQMI	INTPTLAT	INTPTLONG                                                                                                                             
AL	0101	18753464839	2274273696	7240.754	878.102	31.032889	-86.798975                                                                                                                                    
AL	0102	24514317067	234734076	9465.031	90.631	31.761915	-86.628188                                                                                                                                      
AL	0103	17327582348	466368976	6690.217	180.066	33.41401	-85.757772                                                                                                                                      
AL	0104	22351892592	578754652	8630.114	223.458	34.130258	-87.28169                                                                                                                                      
AL	0105	10105546447	427050369	3901.773	164.885	34.691685	-86.680841                                                                                                                                     
AL	0106	11521569031	275076296	4448.503	106.208	32.956943	-86.59323                                                                                                                                      
AL	0107	26611189622	325555643	10274.638	125.698	32.507117	-87.614104                                                                                                                                    
AK	0200	1479508971743	244710526650	571241.632	94483.267	63.347356	-152.839733                                                                                                                           
AZ	0401	4137523551	43192669	1597.507	16.677	33.698866	-111.661478                                                                                                                                       
AZ	0402	151135504644	354909476	58353.747	137.031	35.117216	-111.054772                                                                                                                                  
AZ	0403	533196526	1552135	205.868	0.599	33.424088	-112.121724                                                                                                                                           
AZ	0404	463210220	2371866	178.846	0.916	33.384729	-111.859735                                                                                                                                           
AZ	0405	1049670778	1231081	405.28	0.475	33.305743	-111.655086                                                                                                                                           
AZ	0406	35461794826	50292175	13691.876	19.418	32.373827	-109.977644                                                                                                                                     
AZ	0407	39931541853	13462632	15417.655	5.198	32.261361	-112.321364                                                                                                                                      
AZ	0408	1489986178	9069019	575.287	3.502	33.788464	-112.201324                                                                                                                                          
AZ	0409	60163689718	377910946	23229.331	145.912	34.602342	-113.66332                                                                                                                                    
AR	0501	51408903831	1427599347	19849.09	551.199	35.351172	-91.33508                                                                                                                                     
AR	0502	13730926682	362000809	5301.541	139.769	35.167888	-92.375838                                                                                                                                     
AR	0503	10786551995	207866673	4164.711	80.258	36.000717	-94.029813                                                                                                                                      
AR	0504	58732135346	1125248881	22676.605	434.461	34.208983	-93.142469                                                                                                                                   
CA	0601	68358619542	1696192460	26393.412	654.904	40.759058	-121.708586                                                                                                                                  
CA	0602	33769653017	4120898805	13038.536	1591.088	40.071536	-123.464436                                                                                                                                 
CA	0603	56116600729	988931429	21666.742	381.829	37.82646	-118.859763                                                                                                                                    
CA	0604	9790272216	380698790	3780.045	146.989	38.735643	-122.331229                                                                                                                                     
CA	0605	25401888554	414580789	9807.724	160.071	37.7133	-119.850428                                                                                                                                      
CA	0606	651427538	7098663	251.518	2.741	38.631719	-121.370921                                                                                                                                           
CA	0607	1762367950	68768947	680.454	26.552	38.3616	-121.382107                                                                                                                                          
CA	0608	1246246527	346851360	481.178	133.92	38.113205	-122.119708                                                                                                                                       
CA	0609	3488337938	94520307	1346.855	36.494	37.977874	-121.206741                                                                                                                                       
CA	0610	1391885167	61046055	537.41	23.57	37.891077	-121.893056                                                                                                                                          
CA	0611	107152325	479611111	41.372	185.179	37.727239	-123.032229                                                                                                                                        
CA	0612	239977617	126063298	92.656	48.673	37.780127	-122.240801                                                                                                                                         
CA	0613	16297746813	146694993	6292.595	56.639	36.917654	-120.576823                                                                                                                                     
CA	0614	1503389037	74912270	580.462	28.924	37.632533	-121.839457                                                                                                                                        
CA	0615	301072298	290950223	116.245	112.337	37.589067	-122.316684                                                                                                                                       
CA	0616	1370281645	477793556	529.069	184.477	37.335174	-122.287674                                                                                                                                      
CA	0617	464449295	21713076	179.325	8.383	37.426051	-121.964951                                                                                                                                          
CA	0618	11843791771	90538002	4572.914	34.957	36.478692	-121.192912                                                                                                                                      
CA	0619	7294858202	1988282455	2816.561	767.68	36.867713	-121.752502                                                                                                                                     
CA	0620	25052458116	128850046	9672.809	49.749	35.756458	-118.67173                                                                                                                                      
CA	0621	2308475715	5754295	891.307	2.222	36.553876	-119.473299                                                                                                                                          
CA	0622	11170799040	19732995	4313.07	7.619	35.773573	-119.529737                                                                                                                                        
CA	0623	46533428403	48562604	17966.658	18.75	34.942504	-116.43631                                                                                                                                       
CA	0624	12655033580	3811623101	4886.136	1471.676	34.724843	-120.057905                                                                                                                                  
CA	0625	30965567065	1025871477	11955.873	396.091	33.613311	-115.34455                                                                                                                                   
CA	0626	4441534808	311318849	1714.886	120.201	34.45496	-119.06995                                                                                                                                       
CA	0627	3926710657	32032579	1516.112	12.368	34.606629	-118.358284                                                                                                                                       
CA	0628	2040519541	4744578	787.849	1.832	34.280333	-117.866141                                                                                                                                          
CA	0629	334032784	920614	128.971	0.355	34.287754	-118.389695                                                                                                                                            
CA	0630	464384392	2017006	179.3	0.779	34.22809	-118.273626                                                                                                                                              
CA	0631	537872265	8524991	207.674	3.292	34.145768	-117.891631                                                                                                                                           
CA	0632	767253650	239266157	296.238	92.381	34.0935	-118.657518                                                                                                                                          
CA	0633	490000941	2760139	189.19	1.066	34.115584	-117.339115                                                                                                                                            
CA	0634	128664516	962989	49.678	0.372	34.071305	-118.216637                                                                                                                                             
CA	0635	459007647	514721	177.224	0.199	34.037647	-117.619723                                                                                                                                            
CA	0636	251515347	252540525	97.111	97.506	33.869819	-118.405296                                                                                                                                         
CA	0637	136664154	173654	52.766	0.067	34.009687	-118.325203                                                                                                                                             
CA	0638	386768941	3533278	149.332	1.364	33.968825	-117.971097                                                                                                                                           
CA	0639	735864387	4211110	284.119	1.626	33.906185	-117.316456                                                                                                                                           
CA	0640	1013148352	5365357	391.179	2.072	33.75137	-117.666104                                                                                                                                           
CA	0641	3437351058	47977795	1327.169	18.524	33.630418	-116.58229                                                                                                                                        
CA	0642	549841260	1171994926	212.295	452.51	33.367336	-118.480709                                                                                                                                       
CA	0643	186938591	617273	72.177	0.238	33.910609	-118.310473                                                                                                                                             
CA	0644	236044846	66196569	91.137	25.559	33.806936	-118.241001                                                                                                                                          
CA	0645	268375048	896726	103.62	0.346	33.881665	-118.035199                                                                                                                                             
CA	0646	193675516	528875	74.779	0.204	33.794785	-117.908297                                                                                                                                             
CA	0647	448294833	286926716	173.088	110.783	33.634239	-117.89192                                                                                                                                        
CA	0648	9362006910	51036279	3614.691	19.705	33.08375	-116.63769                                                                                                                                         
CA	0649	1284475535	454025804	495.939	175.3	33.316415	-117.425868                                                                                                                                        
CA	0650	664411673	402346282	256.531	155.347	32.716149	-117.224302                                                                                                                                       
CA	0651	491909233	2916068	189.927	1.126	32.834756	-117.083194                                                                                                                                           
CA	0652	350386820	20741861	135.285	8.008	32.628679	-117.035322                                                                                                                                          
CO	0801	398601209	4281287	153.901	1.653	39.76185	-104.881105                                                                                                                                            
CO	0802	29642600086	245280165	11445.072	94.703	40.29582	-106.206861                                                                                                                                     
CO	0803	129370970050	353187540	49950.413	136.366	38.45821	-106.883566                                                                                                                                   
CO	0804	83237057522	408676809	32138.009	157.791	39.318349	-103.248726                                                                                                                                   
CO	0805	3811938394	6614048	1471.798	2.554	38.807274	-104.661743                                                                                                                                         
CO	0806	794278607	11206555	306.673	4.327	39.680581	-104.784114                                                                                                                                          
CO	0807	18547451091	100854506	7161.211	38.94	38.886809	-105.635833                                                                                                                                      
CO	0808	2616076559	55440508	1010.073	21.406	40.177746	-104.809462                                                                                                                                       
CT	0901	1700162748	51097604	656.437	19.729	41.928611	-73.017629                                                                                                                                         
CT	0902	5234750701	298599536	2021.149	115.29	41.653687	-72.206509                                                                                                                                       
CT	0903	1227479568	70308671	473.933	27.146	41.372075	-72.892659                                                                                                                                         
CT	0904	1152155055	211860342	444.85	81.8	41.190282	-73.393356                                                                                                                                           
CT	0905	3227451435	88588296	1246.126	34.204	41.694323	-73.209998                                                                                                                                        
CT	09ZZ	0	1095660734	0.	423.037	41.166607	-72.842465                                                                                                                                                    
DE	1000	5046692239	1399219008	1948.539	540.242	38.998566	-75.441644                                                                                                                                     
DC	1198	158316181	18709785	61.126	7.224	38.904247	-77.016517                                                                                                                                            
FL	1201	8281853420	3155722215	3197.642	1218.431	30.615404	-86.817013                                                                                                                                    
FL	1202	25521305518	7730380484	9853.832	2984.717	30.245747	-84.777635                                                                                                                                   
FL	1203	18963664749	2457659456	7321.912	948.908	29.778479	-82.728298                                                                                                                                    
FL	1204	4615364725	514199539	1782.002	198.534	30.330709	-81.777257                                                                                                                                      
FL	1205	1533326560	613844919	592.021	237.007	30.101613	-81.459671                                                                                                                                       
FL	1206	8832152725	1341887964	3410.113	518.106	29.272623	-81.640698                                                                                                                                     
FL	1207	2161282923	567051839	834.476	218.94	28.873696	-81.094956                                                                                                                                        
FL	1208	4247633118	1706405327	1640.02	658.847	28.149056	-80.681788                                                                                                                                      
FL	1209	4274557274	506857700	1650.416	195.699	28.119037	-81.173363                                                                                                                                      
FL	1210	665073842	40809152	256.786	15.757	28.541394	-81.293515                                                                                                                                          
FL	1211	4144209436	611409985	1600.088	236.067	28.583489	-81.854863                                                                                                                                      
FL	1212	4275209327	2298499980	1650.668	887.456	28.579392	-82.568436                                                                                                                                     
FL	1213	589748441	1302486265	227.703	502.893	27.931244	-82.836575                                                                                                                                       
FL	1214	696989824	659788313	269.109	254.746	27.863224	-82.541731                                                                                                                                        
FL	1215	1694616875	53284522	654.295	20.573	28.102183	-82.216787                                                                                                                                         
FL	1216	2990085588	894626437	1154.479	345.417	27.578313	-82.383219                                                                                                                                      
FL	1217	3764952550	1800182424	1453.656	695.054	26.997614	-82.164644                                                                                                                                     
FL	1218	16704380065	1646543410	6449.597	635.734	27.268836	-81.379767                                                                                                                                    
FL	1219	1759635824	3152983447	679.399	1217.374	26.448218	-82.021732                                                                                                                                     
FL	1220	5572781585	636069740	2151.663	245.588	26.446199	-80.587196                                                                                                                                      
FL	1221	3901268170	989597788	1506.288	382.086	27.138361	-80.3795                                                                                                                                        
FL	1222	649434322	244992462	250.748	94.592	26.574021	-80.123587                                                                                                                                         
FL	1223	427460227	231108304	165.043	89.231	26.281242	-80.133437                                                                                                                                         
FL	1224	257981757	215537480	99.607	83.219	25.881371	-80.16107                                                                                                                                           
FL	1225	514783025	98134387	198.759	37.89	26.048277	-80.275645                                                                                                                                           
FL	1226	5958663591	360952933	2300.653	139.365	26.022815	-81.081248                                                                                                                                      
FL	1227	308813769	418178101	119.234	161.459	25.691263	-80.250152                                                                                                                                        
FL	1228	5658150155	11719718475	2184.624	4525.009	25.215749	-81.158374                                                                                                                                   
GA	1301	19062574046	2060620088	7360.101	795.61	31.425845	-81.805827                                                                                                                                     
GA	1302	25778630534	431481150	9953.185	166.596	31.764248	-84.398008                                                                                                                                     
GA	1303	10790457631	214826364	4166.219	82.945	33.205633	-84.775927                                                                                                                                      
GA	1304	697805283	10405445	269.424	4.018	33.832121	-84.194444                                                                                                                                           
GA	1305	583014612	2696160	225.103	1.041	33.693614	-84.381768                                                                                                                                            
GA	1306	1339898759	15812380	517.338	6.105	33.699133	-84.600469                                                                                                                                          
GA	1307	2852726500	148237015	1101.444	57.235	34.335975	-84.137442                                                                                                                                       
GA	1308	28303960011	394330515	10928.221	152.252	31.732182	-83.296165                                                                                                                                    
GA	1309	8820246720	148807975	3405.516	57.455	34.595424	-83.821995                                                                                                                                       
GA	1310	13480391206	353743310	5204.808	136.581	33.71816	-83.317132                                                                                                                                      
GA	1311	3822632996	69754859	1475.927	26.933	34.319731	-84.69777                                                                                                                                         
GA	1312	24949218411	496485728	9632.947	191.694	32.782641	-82.287107                                                                                                                                     
GA	1313	1383581474	23719379	534.204	9.158	33.505727	-84.256259                                                                                                                                          
GA	1314	7620624518	48301490	2942.34	18.649	34.478838	-85.126109                                                                                                                                         
HI	1501	526027395	375881467	203.1	145.129	21.326768	-157.878265                                                                                                                                         
HI	1502	16108396523	11401493885	6219.487	4402.142	19.828167	-155.495042                                                                                                                                 
ID	1601	102045008341	1308792415	39399.8	505.328	45.310578	-116.034974                                                                                                                                   
ID	1602	112005496181	1082204252	43245.566	417.841	43.443926	-113.364262                                                                                                                                 
IL	1701	1583916263	24866851	611.554	9.601	41.417597	-87.952046                                                                                                                                          
IL	1702	10144448787	38966582	3916.794	15.045	40.771483	-87.942652                                                                                                                                       
IL	1703	398461669	7711929	153.847	2.978	41.93579	-87.974433                                                                                                                                             
IL	1704	248008492	3103417	95.757	1.198	41.829374	-87.809897                                                                                                                                             
IL	1705	401715200	7890245	155.103	3.046	42.081954	-87.984755                                                                                                                                            
IL	1706	583310409	11810373	225.217	4.56	41.736949	-87.892885                                                                                                                                            
IL	1707	177223764	2189439	68.426	0.845	41.878463	-87.840651                                                                                                                                             
IL	1708	739319045	15208390	285.453	5.872	42.02767	-88.197178                                                                                                                                            
IL	1709	434425556	11571696	167.733	4.468	42.243399	-88.089979                                                                                                                                           
IL	1710	1321249102	67356507	510.137	26.006	42.352236	-88.051859                                                                                                                                         
IL	1711	2379449391	24366783	918.711	9.408	42.000716	-88.395646                                                                                                                                          
IL	1712	36301165567	667370443	14015.959	257.673	38.295241	-88.769254                                                                                                                                    
IL	1713	5864527565	93091679	2264.307	35.943	39.12803	-90.009854                                                                                                                                         
IL	1714	5115049054	59866484	1974.932	23.115	41.569043	-88.739903                                                                                                                                        
IL	1715	43389551993	609172795	16752.8	235.203	39.826543	-89.77216                                                                                                                                       
IL	1716	23088267158	280030162	8914.43	108.12	41.394222	-89.449488                                                                                                                                       
IL	1717	11608117702	221698053	4481.919	85.598	41.071208	-90.258684                                                                                                                                      
IL	17ZZ	0	4070576867	0.	1571.659	42.175301	-87.422424                                                                                                                                                   
IN	1801	2855117465	630793660	1102.367	243.551	41.51347	-87.162864                                                                                                                                       
IN	1802	11265252176	124861368	4349.538	48.209	41.208112	-86.241834                                                                                                                                      
IN	1803	11371183919	142827237	4390.439	55.146	41.042727	-85.21144                                                                                                                                       
IN	1804	15790133484	76546517	6096.605	29.555	40.315806	-86.853192                                                                                                                                       
IN	1805	5684441719	37676700	2194.775	14.547	40.281399	-85.792618                                                                                                                                        
IN	1806	8501175597	41239302	3282.322	15.923	39.68995	-85.514755                                                                                                                                         
IN	1807	714862490	17700060	276.01	6.834	39.824255	-86.138144                                                                                                                                            
IN	1808	20968747672	313035439	8096.079	120.864	38.744748	-87.140493                                                                                                                                     
IN	1809	15635780416	159236598	6037.009	61.482	38.890657	-85.766394                                                                                                                                      
IA	1901	28087306776	396020212	10844.57	152.904	41.464298	-91.732583                                                                                                                                     
IA	1902	33417827558	214829037	12902.696	82.946	42.684121	-92.178881                                                                                                                                     
IA	1903	27643855978	195201581	10673.353	75.368	41.139401	-93.971401                                                                                                                                     
IA	1904	55511354304	279292889	21433.055	107.836	42.465182	-94.944248                                                                                                                                    
KS	2001	128553043406	535382248	49634.61	206.712	38.775898	-99.543236                                                                                                                                    
KS	2002	39622826043	536398405	15298.459	207.105	38.406699	-95.729429                                                                                                                                    
KS	2003	5857460300	83403533	2261.578	32.202	38.553473	-95.063949                                                                                                                                        
KS	2004	37720491811	190479577	14563.964	73.545	37.558626	-97.76509                                                                                                                                      
KY	2101	29783310648	1185324165	11499.401	457.656	36.965403	-88.342594                                                                                                                                   
KY	2102	18886156433	398673440	7291.986	153.929	37.468306	-86.34923                                                                                                                                      
KY	2103	797065828	39732336	307.749	15.341	38.190392	-85.700581                                                                                                                                          
KY	2104	12547213878	319350254	4844.507	123.302	38.525319	-84.454187                                                                                                                                     
KY	2105	30429688564	340706030	11748.969	131.547	37.381357	-83.528368                                                                                                                                    
KY	2106	9823320467	100349960	3792.805	38.745	38.00571	-84.24821                                                                                                                                         
LA	2201	9460243773	12538336564	3652.621	4841.079	29.765757	-89.750662                                                                                                                                   
LA	2202	5193589844	984532142	2005.256	380.13	30.068681	-90.827406                                                                                                                                       
LA	2203	19749604288	7770306968	7625.365	3000.132	29.804535	-92.007615                                                                                                                                   
LA	2204	37822420750	1164426114	14603.319	449.587	32.277477	-93.518623                                                                                                                                   
LA	2205	27082307761	852835708	10456.538	329.282	31.721212	-91.404518                                                                                                                                    
LA	2206	12612700492	420335861	4869.791	162.293	31.394416	-92.481299                                                                                                                                     
ME	2301	8539309127	4684839382	3297.046	1808.827	43.845924	-69.92217                                                                                                                                     
ME	2302	71349087493	7060226111	27548.038	2725.969	45.510001	-69.08531                                                                                                                                   
MD	2401	10013949639	4256275598	3866.408	1643.357	38.74822	-75.933339                                                                                                                                    
MD	2402	2100961804	106733050	811.186	41.21	39.512348	-76.848319                                                                                                                                         
MD	2403	1296561183	288741049	500.605	111.484	39.17789	-76.730199                                                                                                                                        
MD	2404	562456426	18570004	217.166	7.17	38.924102	-76.912292                                                                                                                                            
MD	2405	3928528635	2063211529	1516.813	796.61	38.48656	-76.720862                                                                                                                                       
MD	2406	6203292326	96421134	2395.105	37.228	39.564116	-78.895085                                                                                                                                        
MD	2407	337275331	132139459	130.223	51.019	39.270579	-76.563524                                                                                                                                         
MD	2408	708198478	17751413	273.437	6.854	39.097739	-77.124072                                                                                                                                           
MA	2501	5784384135	154201475	2233.363	59.538	42.18587	-73.073273                                                                                                                                        
MA	2502	4620063010	206835648	1783.816	79.86	42.428959	-72.202712                                                                                                                                        
MA	2503	1943427502	74361353	750.362	28.711	42.584301	-71.589524                                                                                                                                         
MA	2504	1740989206	97345800	672.2	37.585	41.973829	-71.234044                                                                                                                                           
MA	2505	568010861	52744913	219.31	20.365	42.386784	-71.258578                                                                                                                                           
MA	2506	1379619105	864940969	532.674	333.956	42.619241	-70.885134                                                                                                                                       
MA	2507	157187605	16217168	60.69	6.261	42.305487	-71.079416                                                                                                                                             
MA	2508	759881121	433777068	293.392	167.482	42.20401	-70.973762                                                                                                                                         
MA	2509	3250838090	5230225577	1255.156	2019.401	41.703758	-70.49029                                                                                                                                     
MI	2601	69722663712	78347885585	26920.072	30250.289	46.065206	-86.230683                                                                                                                                
MI	2602	25135236207	8709668981	9704.769	3362.822	43.65128	-85.720137                                                                                                                                    
MI	2603	2084533052	2799163141	804.843	1080.763	43.189042	-86.311504                                                                                                                                     
MI	2604	6180207668	3931978220	2386.192	1518.145	42.467662	-86.151104                                                                                                                                    
MI	2605	13553867955	3224927640	5233.178	1245.152	41.992603	-85.147735                                                                                                                                   
MI	2606	2533301641	101162468	978.113	39.059	42.248308	-83.71103                                                                                                                                         
MI	2607	7163911872	125320218	2766.002	48.386	42.735922	-84.344345                                                                                                                                       
MI	2608	5777780293	577706474	2230.814	223.054	43.392959	-83.978273                                                                                                                                      
MI	2609	12012906549	5856346617	4638.209	2261.148	43.425794	-82.938939                                                                                                                                   
MI	2610	588618971	37196542	227.267	14.362	42.584254	-82.995144                                                                                                                                          
MI	2611	816237200	54251927	315.151	20.947	42.582119	-83.334909                                                                                                                                          
MI	2612	494817642	1322311	191.05	0.511	42.387868	-83.286381                                                                                                                                             
MI	2613	557626922	97494322	215.301	37.643	42.324202	-83.114573                                                                                                                                          
MN	2701	31696673134	560957069	12238.154	216.587	43.904858	-93.531125                                                                                                                                    
MN	2702	4474969571	212918343	1727.795	82.208	44.550994	-93.373984                                                                                                                                       
MN	2703	1212394855	126600705	468.108	48.881	45.022882	-93.510204                                                                                                                                        
MN	2704	785260373	79782209	303.191	30.804	45.001604	-92.990023                                                                                                                                          
MN	2705	338806297	16518420	130.814	6.378	44.983655	-93.292272                                                                                                                                           
MN	2706	6434676045	338639027	2484.442	130.749	45.292069	-93.838807                                                                                                                                      
MN	2707	80391693626	2552782051	31039.408	985.635	46.207557	-95.666974                                                                                                                                   
