county_fips,state_name,county,population,ALAND_SQMI,pop_density
04005,Arizona,Coconino,144643,3540.679,40.85176882739158
04003,Arizona,Cochise,125458,32613.098,3.8468593201418644
04001,Arizona,Apache,65680,1078.634,60.89183170565734
05111,Arkansas,Poinsett,22740,250.949,90.61602158207444
05103,Arkansas,Ouachita,22317,252.373,88.42863539285106
05107,Arkansas,Phillips,15910,2723.774,5.841160096248808
05109,Arkansas,Pike,10182,10070.548,1.0110671236560314
05105,Arkansas,Perry,10073,9464.108,1.0643369665688516
05101,Arkansas,Newton,7175,3039.12,2.3608807812787913
02105,Alaska,Hoonah-Angoon,2313,11748.969,0.19686833797927292
