county_fips,state_name,county,population,ALAND_SQMI,pop_density
06037,California,Los Angeles,9848406,4060.246,2425.5687955852923
17031,Illinois,Cook,5185812,944.925,5488.0673069291215
48201,Texas,Harris,4758579,1707.017,2787.6576507439586
04013,Arizona,Maricopa,4491987,9202.016,488.15248745492295
06073,California,San Diego,3282782,4210.46,779.6730048498264
06059,California,Orange,3164063,792.861,3990.6906759192343
12086,Florida,Miami-Dade,2685296,1899.925,1413.3694751108596
36047,New York,Kings,2646306,69.377,38143.85170877957
48113,Texas,Dallas,2603816,873.2,2981.923957856161
06065,California,Riverside,2449909,7209.253,339.82841218084593
36081,New York,Queens,2330124,108.724,21431.551451381478
32003,Nevada,Clark,2293764,7891.661,290.65668178093307
53033,Washington,King,2262713,2115.736,1069.4684970147505
06071,California,San Bernardino,2187816,20068.167,109.01922432676587
48439,Texas,Tarrant,2135743,865.249,2468.356507779841
48029,Texas,Bexar,2037344,1240.325,1642.5888376030475
12011,Florida,Broward,1946127,1202.909,1617.8505605993469
06085,California,Santa Clara,1903297,1291.084,1474.1852582790893
26163,Michigan,Wayne,1773767,611.835,2899.093709905448
06001,California,Alameda,1651949,737.459,2240.055379349903
36061,New York,New York,1627788,22.658,71841.64533498102
25017,Massachusetts,Middlesex,1622896,817.866,1984.3054974775819
06067,California,Sacramento,1584047,965.28,1641.023330018233
42101,Pennsylvania,Philadelphia,1582432,134.356,11777.903480306053
36103,New York,Suffolk,1525680,910.922,1674.874467846863
12099,Florida,Palm Beach,1507453,1964.292,767.4281624116985
12057,Florida,Hillsborough,1489634,1022.502,1456.8519181380575
12095,Florida,Orange,1440471,902.992,1595.2201126920284
36005,New York,Bronx,1419250,42.176,33650.65440060698
36059,New York,Nassau,1388138,284.542,4878.49948338031
39049,Ohio,Franklin,1321635,532.422,2482.3072675434146
48453,Texas,Travis,1307625,994.294,1315.1291267975066
26125,Michigan,Oakland,1272294,867.393,1466.802245348994
27053,Minnesota,Hennepin,1268903,554.006,2290.4138222329725
39035,Ohio,Cuyahoga,1249418,457.211,2732.694532721216
42003,Pennsylvania,Allegheny,1240476,729.957,1699.382292381606
49035,Utah,Salt Lake,1184689,752.852,1573.6014515469176
06013,California,Contra Costa,1161458,716.896,1620.120631165469
37183,North Carolina,Wake,1151009,834.611,1379.0963694463649
51059,Virginia,Fairfax,1144474,391.02,2926.893765024807
37119,North Carolina,Mecklenburg,1130906,523.608,2159.8333104154253
48085,Texas,Collin,1116601,841.267,1327.2849166792469
13121,Georgia,Fulton,1068507,526.74,2028.5283061852147
24031,Maryland,Montgomery,1057586,493.143,2144.582808637657
04019,Arizona,Pima,1049947,9188.683,114.26523256923761
