county_fips,votes_gop,votes_dem,total_votes,per_point_diff
1001,20484,7439,28190,0.4627527492018446
1003,95798,24934,121808,0.5817680283725206
1005,5606,4158,9832,0.1472742066720911
1007,7572,1619,9241,0.6441943512606861
1009,25354,2576,28115,0.8101725057798329
1011,1101,2983,4106,-0.4583536288358499
1013,5172,3251,8467,0.2268808314633282
1015,34912,13194,48530,0.4475169997939419
1017,8711,5405,14221,0.2324731031573026
1019,11358,1553,12984,0.7551601971657425
1021,16920,2698,19728,0.720904298459043
1023,4103,2515,6646,0.2389407162202828
1025,6965,4927,11946,0.1706010380043529
1027,5734,993,6757,0.7016427408613289
1029,6988,605,7637,0.8357993976692419
1031,17495,4601,22270,0.578985181859003
1033,19714,7137,27086,0.4643358192424131
1035,3423,2580,6043,0.1395002482210822
1037,3758,1478,5264,0.4331306990881459
1039,14677,2314,17072,0.724168228678538
1041,5000,1457,6480,0.5467592592592593
1043,38704,4039,43052,0.8051890736783425
1045,14476,4484,19103,0.5230592053604146
1047,5190,10236,15528,-0.3249613601236475
1049,25633,3758,29583,0.7394449514924113
1051,31374,9774,41491,0.5205948277939794
1053,10884,3964,14929,0.4635273628508273
1055,35653,10027,46023,0.5568085522456163
1057,7158,1142,8356,0.7199617041646721
1059,10417,1568,12077,0.7327150782479093
1061,10929,1391,12390,0.7698143664245359
1063,885,3133,4035,-0.5571251548946716
1065,3369,3868,7290,-0.0684499314128943
1067,6989,2263,9301,0.508117406730459
1069,32469,11352,44195,0.4778142323792284
1071,20073,3276,23509,0.7144923220894125
1073,131123,162112,296741,-0.1044311369173791
1075,6033,806,6875,0.7602909090909091
1077,32708,10326,43454,0.5150734109633175
1079,13024,2983,16115,0.6230840831523425
1081,46020,25798,72695,0.2781759405736295
1083,37887,14581,53096,0.4389407864999247
1085,1758,3867,5652,-0.3731422505307856
1087,1682,6084,7820,-0.562915601023018
1089,105430,87824,196355,0.0896641287464031
1091,4995,4631,9673,0.0376305179365243
1093,12245,1197,13523,0.8169784811062635
1095,34434,5553,40277,0.7170593639049582
1097,100759,72055,174545,0.1644504282563235
1099,6007,3740,9799,0.23135013776916
1101,30477,57946,89375,-0.3073454545454545
1103,40449,12392,53369,0.5257171766381232
1105,1269,3174,4457,-0.4274175454341485
1107,5465,3388,8898,0.2334232411777927
1109,8224,4899,13214,0.2516270622067503
1111,9102,1920,11075,0.6484875846501129
1113,10078,10422,20679,-0.0166352338120799
1115,35501,7640,43440,0.641367403314917
1117,79666,33087,114043,0.4084336609875222
1119,1542,3725,5297,-0.4121200679629979
1121,22100,10898,33175,0.3376639035418236
1123,14884,4975,19980,0.4959459459459459
1125,50724,33399,84879,0.204114091824833
1127,25464,4102,29747,0.7181228359162268
1129,6534,1863,8430,0.5540925266903914
1131,1793,3449,5260,-0.3148288973384031
1133,10191,884,11129,0.8362835834306765
2001,4861,3367,8228,0.1815751093825959
2002,4534,4571,9105,-0.0040637012630422
2003,4496,6130,10626,-0.1537737624694146
2004,2691,6161,8852,-0.3920018075011297
2005,4351,3328,7679,0.1332204714155489
2006,6705,4773,11478,0.1683220073183481
2007,6777,2513,9290,0.4589881593110871
2008,7950,2576,10526,0.5105453163594909
2009,5581,5849,11430,-0.0234470691163604
2010,4357,4070,8427,0.0340571971045449
2011,4864,4633,9497,0.0243234705696535
2012,4059,4169,8228,-0.0133689839572193
2013,3589,3682,7271,-0.0127905377527162
2014,2768,4346,7114,-0.2218161371942648
2015,4594,4364,8958,0.0256753739674034
2016,3929,5344,9273,-0.1525935511700636
2017,2407,4990,7397,-0.3491956198458834
2018,2686,1928,4614,0.1642826181187689
2019,1971,2825,4796,-0.1780650542118431
2020,3041,3924,6965,-0.1267767408470925
2021,3984,4711,8695,-0.0836112708453133
2022,2594,2660,5254,-0.0125618576322801
2023,6101,4116,10217,0.194284036409905
2024,6482,3234,9716,0.3342939481268012
2025,6891,3172,10063,0.3695716983007056
2026,7143,2013,9156,0.5602883355176933
2027,6785,1807,8592,0.5793761638733705
2028,6713,2213,8926,0.504145193815819
2029,7418,2708,10126,0.4651392455066166
2030,7312,2701,10013,0.4605013482472785
2031,3475,3240,6715,0.0349962769918093
2032,3742,1883,5625,0.3304888888888889
2033,6548,2016,8564,0.5291919663708546
2034,5836,3759,9595,0.2164669098488796
2035,4395,4885,9280,-0.052801724137931
2036,5633,3538,9171,0.228437465925199
2037,2208,1921,4129,0.0695083555340276
2038,1558,2028,3586,-0.1310652537646402
2039,1690,2180,3870,-0.1266149870801033
2040,1688,1362,3050,0.1068852459016393
4001,12795,18872,32019,-0.1897935600737062
4003,35936,22296,58923,0.2314885528571185
4005,27576,41504,70067,-0.198781166597685
4007,18901,8504,27648,0.3760489004629629
4009,11177,3867,15183,0.4814595271026807
4011,2308,954,3308,0.4093107617896009
4012,5470,2101,7624,0.4418940188877229
4013,1051531,980016,2053945,0.0348183617380211
4015,85683,24081,110450,0.5577365323675871
4017,29480,20754,50706,0.1720900879580325
4019,214669,292450,513176,-0.1515678831434049
4021,126926,80656,209552,0.2208043826830572
4023,7699,11265,19121,-0.1864965221484232
4025,99346,48717,149402,0.3388776589336152
4027,40745,26823,68195,0.2041498643595571
5001,3951,1503,5547,0.4413196322336398
5003,5145,1774,7030,0.4795163584637269
5005,16253,4341,20954,0.5684833444688365
5007,79907,45231,128595,0.2696527858781445
5009,13968,2854,17112,0.6494857410004675
5011,2213,961,3209,0.3901526955437832
5013,1674,379,2092,0.6190248565965584
5015,7470,3812,11538,0.3170393482405962
5017,1658,1796,3490,-0.0395415472779369
5019,4526,2959,7657,0.20464934047277
5021,3968,907,4967,0.6162673646064022
5023,10595,1941,12739,0.6793311876913415
5025,2804,524,3374,0.6757557794902194
5027,5367,2466,7940,0.3653652392947103
5029,5893,2449,8541,0.4032314717246223
5031,25152,11210,37242,0.3743622791471994
5033,18615,4753,23834,0.5816061089200302
5035,7028,7362,14681,-0.0227504938355698
5037,4753,1642,6534,0.4761248852157942
5039,1482,798,2324,0.2943201376936317
5041,1805,1638,3505,0.0476462196861626
5043,4203,2050,6365,0.3382560879811468
5045,35357,17752,54465,0.3232351051133755
5047,5582,1232,6971,0.624013771338402
5049,4040,906,5043,0.6214554828475114
5051,28359,13015,42327,0.3625109268315732
5053,6755,1192,8078,0.6886605595444417
5055,12617,2935,15820,0.6120101137800252
5057,4193,1776,6089,0.3969453112169486
5059,9226,2818,12283,0.5216966539119108
5061,3246,1158,4473,0.4668008048289739
5063,11023,2689,14011,0.5948183570052101
5065,4854,949,5925,0.6590717299578059
5067,3509,1183,4775,0.4871204188481675
5069,8468,12802,21608,-0.2005738615327656
5071,6766,2107,9059,0.5142951760679987
5073,1589,698,2325,0.3832258064516129
5075,4608,965,5692,0.6400210822206606
5077,1181,1270,2520,-0.0353174603174603
5079,2502,813,3372,0.5008896797153025
5081,3744,1084,4899,0.5429679526433966
5083,6567,1464,8205,0.6219378427787934
5085,23225,6790,30620,0.536740692357936
5087,5885,1491,7501,0.5857885615251299
5089,6230,1501,7851,0.6023436504903834
5091,11842,3769,15803,0.5108523698032019
5093,6963,3574,10717,0.316226555939162
5095,1385,1002,2433,0.1574188244965064
5097,2987,645,3707,0.6317777178311302
5099,2002,849,2907,0.3966288269693842
5101,3063,644,3770,0.6416445623342175
